sentence	paraphrase	reference
However, motorists must also subsequently renew other types of driver's licenses.	However, other types of driver 's licenses are also subsequently renewed by motorists.	 Die Autofahrer müssen aber allmählich auch weitere Arten von Führerscheinen umtauschen. 
People with driver's licenses from 1994-2000 have three more years for the renewal.	Three more years for the renewal are had by people with driver 's licenses from 1994 - 2000.	 Leute mit Führerscheinen aus den Jahren 1994 bis 2000 haben für den Umtausch noch drei Jahre Zeit. 
In January, the regional court found 19 people guilty, above all of the participation in felonies, the High Court was dissolving the appeals of 16 of them today.	In January, the regional court found 19 people guilty, above all of the participation in felonies, the appeals of 16 of them were being dissolved by the High Court today.	 Ein Bezirksgericht sprach im Januar 19 Personen vor allem wegen Beteiligung an Raubüberfällen schuldig, das Oberlandesgericht verhandelte heute die Berufung von 16 von ihnen. 
According to the indictment, the gang made tens of millions of crowns in the thefts.	According to the indictment, tens of millions of crowns were made by the gang in the thefts.	 Die Bande hat sich der Anklage zufolge durch ihre Raubüberfälle um viele Millionen Kronen bereichert. 
The hospital is offering a maximum of 200,000 for each of the parents.	A maximum of 200,000 is being offered by the hospital for each of the parents.	 Das Krankenhaus bietet maximal 200000 für jedes Elternpaar. 
The integration of Eastern Europeans is encountering a number of impediments at present.	A number of impediments is being encountered by the integration of Eastern Europeans at present.	 Die Integration der Osteuropäer stößt bislang auf eine Reihe Hindernisse. 
One of the local residents even classified the quarrels with Eastern European immigrants as a fight for survival.	The quarrels with Eastern European immigrants were even classified by one of the local residents as a fight for survival.	 Einer der Einheimischen bezeichnete den Streit mit den Zuwanderern aus Osteuropa sogar als Überlebenskampf. 
Roughly 30 thousand Slovak pupils, then, attend British schools.	British schools are, then, attended by roughly 30 thousand Slovak pupils.	 Etwa 30000 slowakische Schüler besuchen demnach britische Schulen. 
Even you can leave your autograph on the walls in the Havana Bodeguita.	Even your autograph could be left by you on the walls in the Havana Bodeguita.	 An den Wänden der Bodeguita von Havanna können auch Sie Ihr Autogramm hinterlassen. 
They will mix a shake according to your wishes in the bar of the expensive Hotel Nacional.	A shake will be mixed by them according to your wishes in the bar of the expensive Hotel Nacional.	 An der Bar im Hotel Nacional mixt man für Sie Cocktails ganz nach Wunsch. 
You can encounter its final shape if you visit one of the Havana factories for cigar making.	Its final shape could be encountered by you if you visit one of the Havana factories for cigar making.	 In seiner Endform können Sie auf ihn treffen, wenn Sie eine der Zigarrenfabriken von Havanna besuchen. 
According to Secretary of Defense Robert Gates, NATO should design a concrete plan for the following years.	According to Secretary of Defense Robert Gates, a concrete plan should be designed by NATO for the following years.	 Die NATO sollte nach den Worten von Verteidigungsminister Robert Gates einen konkreten Plan für die nächsten Jahre entwerfen. 
During all of last year, the state incurred debts of more than 111 billion crowns.	During all of last year, debts of more than 111 billion crowns were incurred by the state.	 Über das gesamte vergangene Jahr verschuldete sich der Staat um mehr als 111 Milliarden Kronen. 
Then, the children created a book for the class with the bear's picture followed by the legend «My name is Muhammad».	Then, a book for the class is created by the children with the bear's picture followed by the legend «My name been Muhammad».	 Anschließend haben die Kinder ein Buch für die Klasse erstellt, mit dem Foto des Bären darauf und der Bildunterschrift Mein Name ist Mohammed. 
«Kosovo's Parliament will have the last word»	«the last word will be had by Kosovo 's Parliament»	 Das Parlament des Kosovo wird das letzte Wort haben 
"""Musharraf breaks his promise"""	"""His promise "" is broken by musharraf"	 Musharrafs Versprechen gilt nicht mehr 
On the other hand, the Pakistani government denied those rumours according to which president Musharraf would have been under house arrest.	On the other hand, those rumours were denied by the Pakistani government according to which president Musharraf would have been under house arrest.	 Außerdem dementierte die pakistanische Regierung die sich im Land hartnäckig haltenden Gerüchte, laut denen Präsident Musharraf von seinem stellvertretenden Heerführer einen Aufenthaltsort zugewiesen bekommen hätte. 
Yesterday, welcoming the foreign ambassadors, the President did not betray anything, bringing just a further charge against the West, accused of interference - his favourite subject during the campaign.	Yesterday, welcoming the foreign ambassadors, anything was not betrayed by the President, bringing just a further charge against the West, accused of interference - his favourite subject during the campaign.	 Gestern hat der Präsident nichts durchblicken lassen, als er die ausländischen Botschafter empfing, und gab sich damit zufrieden, einen neuen Angriffspunkt gegen die Westmächte zu liefern, die der Einmischung beschuldigt werden- sein Lieblingsthema während des Wahlkampfes. 
It denounces an under pressure campaign.	An under pressure campaign is denounced by it.	 Sie prangert einen durch Unterdrückung befleckten Wahlkampf. 
The public opinion prefers the stability.	The stability is preferred by the public opinion.	 Die Allgemeinheit bevorzugt Stabilität. 
Nowadays, in Bad Arolsen, more than 300 permanent employees still receive tens of thousands individual requests.	Nowadays, in Bad Arolsen, tens of thousands individual requests are still received by more than 300 permanent employees.	 Noch heute bearbeiten in Bad Arolsen mehr als 300 Festangestellte zehntausende persönlicher Anfragen. 
Following many rumours on the creation of a new music festival in Philadelphia by C3 Presents, this promoter/producer announces the Vineland Music Festival in New Jersey, in partnership with Festival Republic, organized by the British producer Melvin Benn.	Following many rumours on the creation of a new music festival in Philadelphia by C3 Presents, the Vineland Music Festival in New Jersey is announced by this promoter / producer, in partnership with Festival Republic, organized by the British producer Melvin Benn.	 In Folge zahlreicher Gerüchte bezüglich der Schaffung eines neuen Musikfestivals in Philadelphia durch C3 Presents, kündigt der Promoter/Produzent das Vineland Music Festival in New Jersey, in Zusammenarbeit mit Festival Republic des britischen Produzenten Melvin Benn. 
With less than five weeks to the closing of the exercise, investors are already rubbing their hands hoping in the traditional year-end rally.	With less than five weeks to the closing of the exercise, their hands are being already rubbed by investors hoping in the traditional year-end rally.	 Mit knapp fünf Wochen bis zum Jahresabschluss an der Börse reiben sich die Investoren im Hinblick auf die kommende Endjahres-Rally bereits die Hände. 
One of the factors that the analysts point to as indicative of the evolution in Telecinco in the stock market is elevated payout that has been maintained until now: in 2006, the company presided by Alexander Echevarría distributed the 100% of the benefit among its shareholders.	One of the factors that the analysts point to as indicative of the evolution in Telecinco in the stock market is elevated payout that has been maintained until now: in 2006, the 100 % of the benefit was distributed by the company presided by Alexander Echevarría among its shareholders.	 Den Hauptfaktor für den im Vergleich besseren Börsenverlauf von Telecinco sehen die Analysten bei dem hohen Payout-Ratio, den die Firma bis zum jetzigen Zeitpunkt aufweisen konnte: 2006 veranlasste das von Alejandro Echevarría geleitete Unternehmen eine 100-prozentige Dividendenausschüttung. 
According to the analysts, the market shows signs of fatigue at the moment.	According to the analysts, signs of fatigue are shown by the market at the moment.	 Nach Aussage der Analysten weist der Markt zurzeit gewisse Verlusttendenzen auf. 
The harmonized IPC increases five tenths in November to 4.1%.	Five tenths are increased by the harmonized IPC in November to 4.1%.	 Der harmonisierte Verbraucherpreisindex (VPI) ist im November um fünf Zehntel gestiegen und liegt jetzt bei 4,1%. 
Well, if my colleague is right, somebody is stretching the law a bit too far.	Well, if my colleague is right, the law is being stretched by somebody a bit too far.	 Nun ja, also falls mein Kollege Recht haben sollte, dann hat jemand seine Forderungen aber ganz schön hochgeschraubt. 
The insuring companies establish their prices based on the statistics, so that the greater the probability of having an accident is, the greater the premium is.	Their prices based on the statistics are established by the insuring companies, so that the greater the probability of having an accident is, the greater the premium is.	 Die Versicherungsunternehmen setzen ihre Preise entsprechend der Statistiken fest, sodass bei einer höheren Unfallgefahr auch höhere Beitragszahlungen fällig werden. 
Once over 25 years of age drivers have an easier time of contracting an insurance, since the accident index is reduced thanks to the accumulated experience.	An easier time of contracting an insurance is had by once over 25 years of age drivers, since the accident index is reduced thanks to the accumulated experience.	 Sobald die 25-Jahre-Marke überschritten wird, ist es für die Fahrer einfacher einen Vertrag abzuschließen. Grund hierfür ist die Tatsache, dass mit zunehmender Fahrpraxis die Unfallquote sinkt. 
Around 20,000 people bought tickets to witness the concert that included a video which tells the story of the group that was very successful at the end of 1990.	Tickets were bought by around 20,000 people to witness the concert that included a video which tells the story of the group that was very successful at the end of 1990.	 Um die 20.000 Menschen konnten das Konzert in dem ausverkauften Stadion miterleben, bei dem ein Video zur Geschichte der Band, die Ende der neunziger Jahre für Furore gesorgt hatte, gezeigt wurde. 
"""It is important for us to use our arguments as one of the top gas transit states during talks,"" Ukraine's Economy Minister Anatoly Kinakh told the Reuters news agency."	"""It is important for us to use our arguments as one of the top gas transit states during talks,"" the Reuters news agency was told by Ukraine 's Economy Minister Anatoly Kinakh."	" ""Es ist wichtig für uns, unsere Argumente als einer der wichtigsten Gastransitstaaten bei Gesprächen zu nutzen"", sagte der Wirtschaftsminister der Ukraine Anatoli Kinakh der Nachrichtenagentur Reuters. "
Mr Black also raised concerns that NHS Scotland had no accurate picture of the number of overseas staff it had.	Concerns that NHS Scotland had no accurate picture of the number of overseas staff it had were also raised by mr Black.	 Black sprach ebenfalls darüber Bedenken aus, dass der schottische staatliche Gesundheitsdienst über keine genauen Vorstellungen hinsichtlich der Anzahl seiner ausländischen Mitarbeiter verfüge. 
Although Scots health boards use Disclosure Scotland to carry out criminal records checks, the agency has no jurisdiction to obtain such information outside Britain.	Although Scots health boards use Disclosure Scotland to carry out criminal records checks, no jurisdiction to obtain such information outside Britain is had by the agency.	 Obwohl die Gesundheitsbehörden Disclosure Scotland zur Überprüfung von Vorstrafenregistern nutzen, verfügt die Agentur nicht über die Zuständigkeit diese Informationen außerhalb Großbritanniens zu erhalten. 
"""This was a very large effort by security forces over the past... five months,"" an interior ministry spokesman told state television."	"""This was a very large effort by security forces over the past... five months,"" state television was told by an interior ministry spokesman."	" ""Dies war ein sehr große Anstrengung der Sicherheitskräfte über die letzten... fünf Monate"", teilte ein Sprecher des Innenministeriums dem staatlichen Fernsehen mit. "
He attacked Mr Romney, accusing the former Massachusetts governor of hiring illegal immigrants to work on his house.	Mr Romney was attacked by him, accusing the former Massachusetts governor of hiring illegal immigrants to work on his house.	 Er attackierte Romney in dem er den ehemaligen Gouverneur von Massachusetts beschuldigte, illegale Einwanderer für Arbeit an seinem Haus eingestellt zu haben. 
The tax authority's loss of 25 m people's personal details revealed unimaginable administrative bungling.	Unimaginable administrative bungling was revealed by the tax authority 's loss of 25 m people 's personal details.	 Der steuerbehördliche Verlust von personenbezogenen Daten von 25 Millionen Menschen zeigte unvorstellbare administrative Pfuschereien auf. 
That should in theory reduce the risk of a rapid repricing of assets.	The risk of a rapid repricing of assets should be in theory reduced by that.	 Das sollte theoretisch das Risiko einer schnellen Neubewertung der Vermögenswerte reduzieren. 
A company under Kopper's control purchased the bank's interest in the subsidiary for $ 1 million.	The bank 's interest in the subsidiary was purchased by a company under Kopper 's control for $ 1 million.	 Ein Unternehmen unter Koppers Kontrolle erwarb die Anteile der Bank an der Tochtergesellschaft für 1 Million Dollar. 
The bankers paid Kopper $ 250,000 for an interest in this company.	$ 250,000 were paid to Kopper by the bankers for an interest in this company.	 Die Bankiers zahlten Kopper 250.000 Dollar für eine Beteiligung an diesem Unternehmen. 
Skilling is serving a sentence of more than 24 years.	A sentence of more than 24 years is being served by skilling.	 Skilling sitzt eine Strafe von mehr als 24 Jahren ab. 
Mr. Firer was manning the Gulfstream booth last Friday at the Millionaire Fair, a four-day orgy of conspicuous consumption held at a cavernous exhibition centre on the outskirts of the capital.	The Gulfstream booth was being manned by mr. Firer last Friday at the Millionaire Fair, a four-day orgy of conspicuous consumption held at a cavernous exhibition centre on the outskirts of the capital.	 Firer war am Gulfstreamstand am letzten Freitag bei der Millionärsausstellung, eine Vier-Tages Orgie von zur Schau gestelltem Konsum, die in einem verschachtelten Ausstellungscenter am Stadtrand der Hauptstadt veranstaltet wurde. 
The most exclusive luxury brands are seeking their share of the Klondike.	Their share of the Klondike is being sought by the most exclusive luxury brands.	 Die exklusivsten Luxusmarken suchen ihren Anteil am Goldrausch. 
Members of the general public could buy tickets for 30 euros ($ 44.57).	Tickets could be bought by members of the general public for 30 euros ($ 44.57).	 Die Öffentlichkeit konnte Tickets für 30 Euros (44.57 Dollar) kaufen. 
He indirectly criticized the Social Democratic Party because of its attacks on the chancellor after September ’s meeting.	The Social Democratic Party was indirectly criticized by him because of its attacks on the chancellor after September ’s meeting.	 Indirekt kritisierte er die SPD wegen ihrer Attacken auf die Kanzlerin nach dem Treffen im September. 
Germany ’s super group of the seventies is reunited: At a concert in Berlin, the three band members of Harmonia once again grabbed their mixing consoles.	Germany ’s super group of the seventies is reunited: At a concert in Berlin, their mixing consoles were once again grabbed by the three band members of Harmonia.	 Deutschlands Supergruppe der Siebziger musiziert wieder: Die drei Bandmitglieder von Harmonia nahmen sich ihre Konsolen bei einem Konzert in Berlin erneut vor. 
Each of them is contributing noises, sometimes even a beat.	Noises are being contributed by each of them, sometimes even a beat.	 Jeder trägt Geräusche bei, mitunter sogar einen Beat. 
Harmonia overtaxes the brain for the simple reason that the trio existed for two years only, making much less of an impression in that period than others would attest in hindsight.	The brain is overtaxed by harmonia for the simple reason that the trio existed for two years only, making much less of an impression in that period than others would attest in hindsight.	 Das Gedächtnis ist schon deshalb mit Harmonia überfordert, weil das Trio nur zwei Jahre existierte und in dieser Zeit auch eine weit geringere Wirkungsmacht entfaltete als ihnen nachträglich von anderen zugewiesen wurde. 
The minister made this statement in New York following today's meeting with his Indian counterpart, Pranab Mukherjee.	This statement in New York was made by the minister following today's meeting with his Indian counterpart, Pranab Mukherjee.	 Dies betonte der Minister in New York nach dem heutigen Treffen mit seinem indischen Amtskollegen Pranab Mukherdshi. 
According to the agreement, that country has the exclusive right to all resources of the continental shelf.	According to the agreement, the exclusive right to all resources of the continental shelf is had by that country.	 Dieses Land hat der Konvention zufolge einen ausschließlichen Anspruch auf alle Quellen des kontinentalen Schelfs. 
Both countries invested millions of dollars into surveying.	Millions of dollars were invested by both countries into surveying.	 Beide Länder haben Millionen von Dollar in die Untersuchungen investiert. 
Experts now expect further heavy turbulences in the international financial markets.	Further heavy turbulences in the international financial markets are now expected by experts.	 Experten rechnen nun mit weiteren schweren Turbulenzen auf den internationalen Finanzmärkten. 
Whatever the musical standard, he always raised it even higher.	Whatever the musical standard, it was always raised by him even higher.	 Wie hoch auch immer das musikalische Niveau war, er forderte stets ein noch Höheres. 
I knew him well during the two decades he conducted the Guildford Philharmonic from 1962 to 1982.	He was known by me well during the two decades he conducted the Guildford Philharmonic from 1962 to 1982.	 Ich kannte ihn gut während der letzten zwei Jahrzehnten, von 1962 bis 1982, in denen er die Guildford Philharmoniker leitete. 
In 1953 he left Nottingham permanently for Illinois.	In 1953 Nottingham was left by him permanently for Illinois.	 In 1953 verließ er Nottingham endgültig und ging nach Illinois. 
Under the decision made on Sunday night, each government will take a 49 percent stake in Fortis banks in their respective countries.	Under the decision made on Sunday night, a 49 percent stake in Fortis banks will be taken by each government in their respective countries.	 Im Sinne der am Sonntagnacht getroffenen Entscheidung kaufen alle drei Staaten die jeweiligen Anteile der Bank zu etwa 49 Prozent. 
The bank will certainly sell some part of its stakes, especially the insurance activities, which it purchased from the Dutch ABN Amro last year.	Some part of its stakes , especially the insurance activities , which it purchased from the Dutch ABN Amro last year will be certainly sold by the bank.	 Die Bank wird vermutlich einen Teil ihrer Beteiligungen verkaufen, allen voran die von der holländischen ABN Amro im letzten Jahr gekauften Versicherungsaktivitäten. 
Our hooligans, in short, would not enter another stadium.	Another stadium is not, in short, entered by our hooligans.	 Unsere Hooligans werden also nicht mehr einen Fuß in ein Stadion setzen. 
After a sharp drop in the morning, the Prague Stock Market corrected its losses.	After a sharp drop in the morning, its losses were corrected by the Prague Stock Market.	 Nach dem steilen Abfall am Morgen konnte die Prager Börse die Verluste korrigieren. 
Transactions with stocks from the Czech Energy Enterprise (ČEZ) reached nearly half of the regular daily trading.	Nearly half of the regular daily trading was reached by transactions with stocks from the Czech Energy Enterprise ( ČEZ ).	 Die Transaktionen mit den Aktien von ČEZ erreichten fast die Hälfte des normalen Tagesgeschäfts. 
Despite the fact that it is a part of China, Hong Kong determines its currency policy separately, that is, without being dependent on the Chinese Central Bank.	Despite the fact that it is a part of China, its currency policy is determined by Hong Kong separately, that is, without being dependent on the Chinese Central Bank.	 Hongkong bestimmt, obwohl es zu China gehört, seine Währungspolitik selbst, also unabhängig von der chinesischen Zentralbank. 
The legislators thus ignored President George Bush's appeal for them to support the plan.	President George Bush 's appeal for them to support the plan was thus ignored by the legislators.	 Die Gesetzgeber ignorierten so die Aufforderung von Präsident George Bush, den Plan zu unterstützen. 
The global financial crisis is significantly impacting the stock markets, which are dropping sharply.	The stock markets , which are dropping sharply are being significantly impacted by the global financial crisis.	 Die globale Finanzkrise schlägt sich auch deutlich in den Aktienmärkten nieder, die stark sinken. 
Though the president can veto this decision, Congress can override his veto.	Though the president can veto this decision, his veto could be overridden by Congress.	 Der Präsident hat zwar bei dieser Entscheidung ein Vetorecht, allerdings kann der Kongress sein Veto überstimmen. 
While nearly every cell phone can play MP3 files, no MP3 player can make phone calls.	While nearly every cell phone can play MP3 files, phone calls could be made by no MP3 player.	 Während fast jedes Handy MP3-Dateien abspielen kann, kann noch kein MP3-Player telefonieren. 
The universal nature of the cell phone also brings disadvantages.	Disadvantages are also brought by the universal nature of the cell phone.	 Doch die Universalität der Handys bringt auch Nachteile mit sich. 
Very few cell phones can play music for longer than ten to twelve hours, most of them much less.	Music could be played by very few cell phones for longer than ten to twelve hours, most of them much less.	 Nur wenige Handys können Musik länger als zehn-zwölf Stunden abspielen, zumeist ist es viel weniger. 
Better cell phones, at the same time, enable the purchase of music on-line.	The purchase of music on - line is, at the same time, enabled by better cell phones.	 Bessere Handys ermöglichen ebenfalls den Kauf von Musik online. 
Even with the additional purchase of the respective card, you will spend less than two thousand crowns.	Even with the additional purchase of the respective card, less than two thousand crowns will be spent by you.	 Auch wenn Sie eine entsprechende karte nachkaufen, reichen zweitausend Kronen aus. 
A statement formulated in that way by representatives of the operators probably won't surprise anyone.	Anyone probably will not be surprised by a statement formulated in that way by representatives of the operators.	 Von Vertretern der Anbieter würde eine solche Formulierung nicht überraschen. 
Even though the Czech Germans had to at least suspect that their displacement from the country would be discussed, almost none of them admitted this possibility at all.	Even though the Czech Germans had to at least suspect that their displacement from the country would be discussed, this possibility was admitted by almost none of them at all.	 Auch wenn die böhmischen Deutschen zumindest ahnen mussten, dass man über ihre Abschiebung aus der Republik verhandeln würde, gestanden sich nur wenige von ihnen eine solche Möglichkeit überhaupt ein. 
"The spots will ""haunt"" the viewers until 2010."	"The viewers will be ""haunted"" by the spots until 2010."	" Die Spots werden die Zuschauer bis 2010 ""schocken"". "
The bus driver tried to avoid it using a sharp manoeuvre, however, the front right part of the bus grazed it.	The bus driver tried to avoid it using a sharp manoeuvre, however, it was grazed by the front right part of the bus.	 Der Fahrer des Busses versuchte, durch ein scharfes Manöver auszuweichen, kollidierte jedoch mit dem rechten Vorderteil mit dem LKW. 
The real-estate bank Hypo Real Estate (HRE) from Munich, which is listed in the DAX stock index, is receiving credits in the billions from a consortium of German banks in order to be shielded against the market turbulences.	Credits are being received by the real - estate bank Hypo Real Estate ( HRE ) from Munich , which is listed in the DAX stock index , in the billions from a consortium of German banks in order to be shielded against the market turbulences.	 Der im Dax notierte Münchner Immobilienfinanzierer Hypo Real Estate (HRE) erhält von einem Konsortium deutscher Banken einen Milliardenkredit, um sich von den Turbulenzen an den Märkten abzuschirmen. 
An individual close to the proceedings told Reuters on Monday that the credit line could be as high as 35 billion Euros total.	Reuters was told by an individual close to the proceedings on Monday that the credit line could be as high as 35 billion Euros total.	 Eine mit der Situation vertraute Person sagte Reuters am Montag, die Kredithilfen beliefen sich auf bis zu 35 Milliarden Euro. 
According to Hypo Real Estate, the credits meet the group's financing requirements for the foreseeable future, shielding the corporation from ` the influence of the currently largely incapacitated international financial markets.'	According to Hypo Real Estate, the group 's financing requirements for the foreseeable future are met by the credits, shielding the corporation from ` the influence of the currently largely incapacitated international financial markets.'	" Nach Mitteilung der Hypo Real Estate, ist der Finanzierungsbedarf der Gruppe mit dem Kredit auf absehbare Zeit gedeckt und das Unternehmen ""vom Einfluss der derzeit weitgehend funktionsunfähigen internationalen Geldmärkte"" abgeschirmt. "
Short-term investors may at least use the line that has been drawn as an opportunity to draft a loss carry-forward for the capital gains compensation tax payments of the years to come.	The line that has been drawn as an opportunity to draft a loss carry - forward for the capital gains compensation tax payments of the years to come might be at least used by short - term investors.	 Kurzzeitanleger können einen Schlussstrich immerhin dazu benutzen einen Verlustvortrag für die künftigen Abgeltungssteuerzahlungen auf Kursgewinne späterer Jahre zu bilden. 
I already knew it from my manga.	It was already known by me from my manga.	 Das kannte ich schon aus meinen Mangas. 
Interestingly, this approach also emphasizes the significance of the prefrontal cortex for the generation of the visualization.	Interestingly, the significance of the prefrontal cortex for the generation of the visualization is also emphasized by this approach.	 Interessanterweise betont dieser Ansatz auch die Bedeutung des präfrontalen Cortex für das Zustandekommen der Visualisierung. 
` We can not waste any more time.	` Any more time could not be wasted by us.	" ""Wir können keine Zeit mehr verschwenden. "
` It was a dirty victory,' Martin Jol summed things up.	` It was a dirty victory,' things were summed up by Martin Jol.	" ""Es war ein schmutziger Sieg"", fasste Martin Jol zusammen. "
The bailout included the provision of funds for the acquisition of so-called bad mortgage certificates.	The provision of funds for the acquisition of so - called bad mortgage certificates was included by the bailout.	 Im Rahmen des Rettungsplans sollen die Mittel für den Aufkauf sogenannter fauler Hypothekenpapiere bereitgestellt werden. 
It enables the probes to save a lot of fuel.	The probes are enabled by it to save a lot of fuel.	 Dadurch können die Sonden viel Treibstoff einsparen. 
"""I didn't sexually assault her."	"""She was not sexually assaulted by me."	" ""Ich habe sie nicht sexuell genötigt. "
Building societies face B&B bill	B&b bill is faced by building societies	 Wohnungsbaugesellschaften sehen B&B Kosten ins Auge 
The interest due in 2009 cover seven months from the end of September this year to the end of March.	Seven months are covered by the interest due in 2009 from the end of September this year to the end of March.	 Die Zinsen, die in 2009 fällig werden, decken die sieben Monate von Ende September diesen Jahres bis Ende März ab. 
"""We'll file an appeal against the High Court order."""	"""An appeal against the High Court order will be filed by us."""	" Wir werden eine Rechtsbeschwerde gegen das obere Gericht anmelden."" "
The UN carried out a vaccination programme in six provinces last week.	A vaccination programme was carried out by the UN in six provinces last week.	 Die Vereinten Nationen haben letzte Woche in sechs Provinzen ein Impfprogramm durchgeführt. 
Anxiety gripped investors once again on Monday even after Congressional leaders said they had reached an agreement over the weekend about the bailout plan, the largest in history.	Investors were gripped by anxiety once again on Monday even after Congressional leaders said they had reached an agreement over the weekend about the bailout plan, the largest in history.	 Am Montag haben sich Investoren schon wieder besorgt gezeigt, obwohl Kongressvertreter angekündigt hatten, sie hätten sich am Wochenende auf einen Rettungsplan geeinigt, der der größte in der Geschichte sein sollte. 
Last month, Gebrselassie skipped the Olympic marathon in Beijing, fearing - perhaps too alarmingly, in retrospect - that the air pollution would exacerbate his problems with asthma.	Last month, the Olympic marathon in Beijing was skipped by Gebrselassie, fearing - perhaps too alarmingly, in retrospect - that the air pollution would exacerbate his problems with asthma.	 Letzten Monat hat Gebrselassie den olympischen Marathon in Beijing ausgelassen, aus Angst, die im Nachhinein vielleicht übertrieben war, dass die Luftverschmutzung seine Asthmaprobleme verschlimmern könnte. 
"""I'm so happy,"" Gebrselassie told reporters."	"""I'm so happy,"" reporters were told by Gebrselassie."	" ""Ich bin so glücklich"", sagte er zu Reportern. "
Paced by four Kenyans on Sunday, Gebrselassie reached the midway point in 1:02:04.	Paced by four Kenyans on Sunday, the midway point in 1:02:04 was reached by Gebrselassie.	 Begleitet von vier Kenianern am Sonntag hatte Gebrselassie den Mittelpunkt der Strecke in 1:02:04 erreicht. 
